title	Problem:	Implication:	Workaround:	Status:
  The PCIe* Current Compensation Value Default is Incorrect  	  The default current compensation values for PCIe buffers may result in non-optimal performance.  	  The PCIe buffers will not perform as well as possible and performance could be compromised.  	 A BIOS code change has been identified and may be implemented as a workaround for this erratum. 	  For the steppings affected, see the Summary Tables of Changes. 
  The PCIe* Link at 8.0 GT/s is Transitioning Too Soon to Normal Operation While Training  	  The PCIe bus uses high speed serial links that must go through a training process to allow both transmitter and receiver to make adjustments in behavior to optimize the   30  signaling between the transmitter and receiver. When a PCIe compliant device must train or retrain the link, training sequences are used. The device must allow enough time for the training to complete before transitioning to normal operation. In the case of PCIe equalization at 8.0 GT/s the processor is not allowing enough time to optimize signaling before attempting normal operation. 	  Due to this erratum, unexpected system behavior may be observed.  	 A BIOS code change has been identified and may be implemented as a workaround for this erratum. 	  For the steppings affected, see the Summary Tables of Changes. 
  A First Level Data Cache Parity Error May Result in Unexpected Behavior  	  When a load occurs to a first level data cache line resulting in a parity error in close proximity to other software accesses to the same cache line and other locked accesses the processor may exhibit unexpected behavior.  	  Due to this erratum unpredictable system behavior may occur. Intel has not observed this erratum with any commercially available system.  	 None identified. 	 
  For the steppings affected, see the Summary Tables of Changes.  PECI Write Requests That Require a Retry Will Always Time Out  	  PECI 3.0 introduces a ‘Host Identification’ field as a way for the PECI host device to identify itself to the PECI client. This is intended for use in future PECI systems that may support more than one PECI originator. Since PECI 3.0 systems do not support the use of multiple originators, PECI 3.0 host devices should zero out the unused Host ID field. PECI 3.0 also introduces a ‘retry’ bit as a way for the PECI host to indicate to the client that the current request is a ‘retry’ of a previous read or write operation. Unless the PECI 3.0 host device zeroes out the byte containing the ‘Host ID & Retry bit’ information, PECI write requests that require a retry will never complete successfully.  	  PECI write requests that require a retry may never complete successfully. Instead, they will return a timeout completion code of 81H for a period ranging from 1ms to 30ms if the ‘RETRY’ bit is asserted.  	 PECI 3.0 host devices should zero out the byte that contains the Host ID and Retry bit information for all PECI requests at all times including retries. 	  For the steppings affected, see the Summary Tables of Changes. 
  The Vswing of the PCIe* Transmitter Exceeds The Specification  	  The PCIe Specification defines a limit for the Vswing (Voltage Swing) of the differential lines that make up a lane to be 1200 mV peak-to-peak when operating at 2.5 GT/s and 5 GT/s. Intel has found that the processor’s PCIe transmitter may exceed this specification. Peak-to-peak swings on a limited number of samples have been observed up to 1450 mV.  	  For those taking direct measurements of the PCIe transmit traffic coming from the processor may detect that the Vswing exceeds the PCIe Specification. Intel has not observed any functional failures due to this erratum.  	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  When a Link is Degraded on a Port due to PCIe* Signaling Issues Correctable Receiver Errors May be Reported on The Neighboring Port  	  PCI Express interface incorporates a recovery mechanism when certain link degradation occurs by retraining the link without impacting the pending transactions. When a link is degraded on a specific port due to PCIe signaling issues, it is possible  31   that correctable receiver errors are reported on the neighboring (logically adjacent) port. The correctable receiver errors are indicated by the PCIe AER Correctable error bit (XPGLBERRSTS CPUBUS(0); Device 0-3; Function 0-3; Offset 230H; Bit 2). 	  Software that logs errors on the PCIe interface must be aware that errors detected on a specific port could be due to either an error on that specific port or on a neighboring port.  	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  A CMCI is Only Generated When the Memory Controller’s Correctable Error Count Threshold is Exceeded  	  A CMCI (corrected machine-check error interrupt) should be generated when the number of corrected errors for a bank reaches the corrected error threshold programmed into the IA32_MCi_CTL2 bits [14:0]. For memory scrubbing errors, IA32_MCi_STATUS.MCACOD (bits [15:0]) with value of 000x_0000_1100_xxxx (where x stands for zero or one), a CMCI will not be generated until the number of errors has exceeded the threshold in IA32_MCi_CTL2 by 1.  	  The CMCI will not be generated when expected but rather will be generated on the next corrected error for the bank.  	 It is possible for BIOS to contain a workaround for this issue. It should be noted that with this workaround if the threshold is programmed to a value of 0, a read of the value will return 1 and the threshold will be 1. All other valid threshold values for the bank will be read back correctly and function as expected. 	  For the steppings affected, see the Summary Tables of Changes. 
  PCIe* Rx DC Common Mode Impedance is Not Meeting the Specification  	  When the PCIe Rx termination is not powered, the DC Common Mode impedance has the following requirement: ≥10 kΩ over 0-200 mV range with respect to ground and ≥20 kΩ for voltages ≥200 mV with respect to ground. The processor’s PCIe Rx do not meet this requirement at 85 degrees C or greater. In a limited number of samples Intel has measured an impedance as low as 9.85 kΩ at 50mV.  	  Intel has not observed any functional impact due to this violation with any commercially available system.  	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  A Modification to the Multiple Message Enable Field Does Not Affect The AER Interrupt Message Number field  	  The (Advanced Error Interrupt) Message Number field (RPERRSTS Devices 0-3; Functions 0-3; Offset 178H; bits[31:27]) should be updated when the number of messages allocated to the root port is changed by writing the Multiple Message Enable field (MSIMSGCTL Device 3; Function 0; Offset 62H; bits[6:4]). However, writing the Multiple Message Enable in the root port does not update the Advanced Error Interrupt Message Number field.  	  Due to this erratum, software can allocate only one MSI (Message Signaled Interrupt) to the root port.  	 None identified. 	  For the steppings affected, see the Summary Tables of Changes.   32 
  Unexpected PCIe* Set_Slot_Power_Limit Message on Writes to LNKCON  	  The processor sends the PCIe Set_Slot_Power_Limit message on writes to the Slot Capabilities (SLTCAP Devices 0-3; Functions 0-3; Offset A4H) register. Due to this erratum, the processor also sends PCIe the Set_Slot_Power_Limit message on writes to the LNKCON (CPUBUS(0); Devices 0-3; Functions 0-3; Offset A0H) register.  	  For those monitoring the PCIe* traffic going across the link, the unexpected PCIe Set_Slot_Power_Limit Message will be detected whenever a write to the LNKCON register occurs. Intel has not observed any functional failures due to this erratum on any commercially available system.  	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
